Soil_Type,Soil_Moisture,Temperature,Humidity,Crop_Type,Water_Needed_Per_Acre(Litres)
Silt,69.8,36.8,72.0,Groundnut,34946.63
Clay,35.6,41.1,46.3,Cotton,64607.19
Silt,30.7,27.6,47.3,Maize,62495.94
Clay,77.1,40.5,83.2,Rice,59990.17
Loam,33.3,23.7,87.5,Pulses,42012.46
Loam,77.3,27.2,34.1,Millet,33563.04
Loam,32.4,41.5,33.5,Pulses,49202.17
Sandy,21.4,18.2,41.3,Rice,127603.06
Clay,56.7,18.0,40.0,Wheat,45736.91
Loam,14.3,19.4,55.7,Rice,112253.01
Silt,68.6,40.8,63.2,Rice,89052.72
Loam,24.2,21.2,91.9,Pulses,49280.16
Clay,38.1,24.7,35.6,Soybean,57645.86
Sandy,61.3,19.0,50.8,Groundnut,48758.14
Silt,73.6,26.7,79.7,Barley,44718.28
Sandy,37.6,30.6,51.0,Maize,71105.8
Loam,54.4,15.2,62.8,Millet,41025.62
Clay,25.6,43.8,91.8,Barley,42534.96
Silt,43.3,44.2,34.8,Millet,48705.67
Clay,31.9,44.4,47.5,Cotton,69322.68
Sandy,17.5,34.8,75.0,Soybean,74376.77
Sandy,21.5,36.6,65.5,Barley,59769.8
Sandy,43.7,29.8,43.3,Wheat,55930.6
Loam,19.1,19.2,48.4,Rice,120646.2
Clay,74.9,44.5,92.5,Sugarcane,55355.24
Silt,11.7,16.9,32.2,Sugarcane,130140.02
Loam,46.3,18.1,61.2,Cotton,80428.38
Clay,22.7,19.8,44.4,Barley,50262.32
Sandy,45.9,41.2,78.0,Soybean,65959.18
Clay,63.0,18.0,79.3,Barley,35644.87
Sandy,20.3,23.1,44.6,Soybean,83751.77
Silt,18.0,32.0,36.3,Sugarcane,129379.59
Clay,50.5,16.9,63.8,Millet,28535.29
Silt,72.7,33.7,74.5,Sugarcane,72390.98
Loam,60.8,31.4,78.7,Maize,48862.44
Silt,33.5,43.1,87.6,Rice,118281.23
Loam,24.0,20.2,61.9,Wheat,49680.54
Sandy,43.6,36.3,59.6,Millet,42880.42
Silt,18.2,17.5,51.1,Rice,131807.08
Sandy,45.1,34.1,73.5,Sugarcane,93510.23
Silt,45.0,44.0,90.0,Soybean,59915.36
Silt,70.1,25.0,65.0,Barley,42490.2
Sandy,14.3,16.2,81.1,Barley,69869.39
Sandy,70.0,44.2,57.0,Wheat,55213.43
Loam,70.6,44.5,89.1,Cotton,54322.3
Silt,71.4,39.2,31.5,Cotton,72361.63
Silt,61.2,39.8,51.8,Rice,111290.05
Sandy,70.6,17.2,62.6,Sugarcane,100498.15
Sandy,59.6,33.8,77.1,Maize,55329.7
Silt,52.9,23.3,32.8,Sugarcane,98970.04
Loam,22.5,20.7,93.6,Wheat,60757.65
Clay,16.7,26.9,55.5,Millet,45662.45
Silt,51.6,30.6,94.1,Soybean,58606.01
Sandy,50.0,20.9,73.7,Groundnut,53229.01
Loam,70.7,29.9,61.0,Millet,33554.47
Silt,44.9,21.8,81.6,Rice,106178.24
Silt,16.6,17.0,87.4,Sugarcane,124593.84
Clay,25.0,39.9,49.5,Sugarcane,92770.76
Silt,71.2,27.8,38.9,Soybean,53189.74
Sandy,47.7,36.8,32.4,Maize,64994.88
Sandy,72.1,27.4,72.8,Soybean,50607.54
Silt,37.3,29.2,59.3,Cotton,80369.45
Silt,59.3,44.0,47.5,Wheat,53677.66
Silt,35.6,39.1,39.7,Maize,74765.32
Clay,50.2,26.7,37.6,Sugarcane,75528.9
Clay,78.6,30.9,32.0,Soybean,38748.67
Loam,22.6,19.2,30.9,Sugarcane,121701.22
Clay,41.3,27.1,63.2,Cotton,69853.34
Loam,58.2,37.2,94.0,Pulses,40283.11
Clay,79.4,21.9,40.2,Barley,31398.73
Clay,33.9,15.4,67.5,Cotton,78426.09
Sandy,79.4,21.1,82.6,Barley,37595.1
Silt,31.7,25.4,36.0,Barley,63077.32
Silt,54.3,19.4,38.6,Sugarcane,98215.69
Loam,72.9,43.8,70.3,Cotton,58231.65
Clay,46.7,40.6,64.6,Sugarcane,90251.78
Silt,55.9,31.5,39.5,Groundnut,44627.94
Clay,37.4,17.9,35.9,Cotton,71926.82
Sandy,45.1,24.4,48.9,Soybean,59468.96
Silt,76.4,33.7,38.1,Barley,43668.14
Clay,46.1,25.1,60.2,Groundnut,39706.65
Sandy,28.8,16.7,58.7,Soybean,74103.27
Clay,25.7,29.5,85.2,Millet,34927.92
Loam,79.2,24.4,78.5,Barley,40109.38
Silt,60.6,40.9,58.5,Groundnut,43228.86
Clay,39.1,20.9,77.1,Sugarcane,81673.52
Clay,31.4,42.7,48.4,Sugarcane,103518.68
Clay,68.8,21.6,54.6,Rice,76471.89
Silt,71.0,26.2,71.7,Groundnut,34651.13
Loam,37.3,36.6,84.6,Pulses,45406.42
Sandy,60.2,20.4,87.6,Soybean,48914.01
Loam,63.2,30.1,69.6,Groundnut,39146.94
Sandy,37.2,15.8,38.5,Rice,142856.52
Loam,65.8,19.4,50.6,Maize,49493.66
Clay,38.0,23.6,62.0,Maize,50355.82
Sandy,54.2,41.6,62.1,Rice,122347.51
Sandy,57.9,16.2,59.5,Cotton,80655.48
Loam,13.2,24.3,34.0,Maize,75990.91
Loam,68.6,15.9,45.4,Groundnut,44472.12
Clay,19.9,27.3,32.7,Barley,56487.17
Sandy,57.0,29.6,81.9,Soybean,57269.06
Sandy,20.0,41.1,50.9,Millet,57441.71
Sandy,39.9,17.4,87.0,Cotton,80828.1
Sandy,73.3,36.5,65.2,Maize,59162.56
Clay,74.5,32.2,89.0,Soybean,33231.5
Silt,15.2,18.0,31.3,Barley,67432.99
Clay,51.2,28.8,38.7,Groundnut,36194.58
Silt,21.2,39.9,33.3,Cotton,93480.04
Sandy,66.1,27.9,83.0,Millet,40954.32
Clay,16.3,29.9,94.6,Groundnut,40306.46
Sandy,38.4,20.2,53.1,Groundnut,52770.59
Clay,76.5,42.1,77.1,Cotton,54242.0
Silt,31.0,36.2,62.1,Maize,62145.28
Silt,37.0,34.8,86.9,Rice,96055.83
Sandy,68.2,27.2,56.8,Sugarcane,83356.08
Sandy,32.0,15.6,39.3,Groundnut,57004.43
Sandy,50.5,30.0,62.5,Sugarcane,94997.13
Clay,58.5,27.7,74.7,Wheat,40034.49
Loam,44.3,25.5,31.5,Millet,41148.02
Sandy,21.2,35.6,47.6,Soybean,72553.68
Loam,38.9,38.4,53.8,Millet,39708.29
Loam,71.3,17.5,38.3,Maize,50755.41
Sandy,75.5,15.4,61.9,Wheat,46729.85
Clay,73.2,43.6,49.1,Cotton,60159.44
Clay,67.5,26.1,87.8,Sugarcane,71054.64
Sandy,19.2,36.4,79.4,Millet,51760.58
Silt,64.5,15.4,89.6,Cotton,57014.12
Silt,31.9,22.2,92.8,Wheat,49189.15
Loam,24.0,28.7,44.0,Millet,45011.24
Clay,28.5,38.7,47.4,Barley,55948.44
Silt,52.3,35.1,72.1,Cotton,64881.79
Silt,15.5,41.9,92.1,Wheat,51026.89
Silt,42.3,34.8,72.0,Groundnut,42458.95
Sandy,22.9,34.1,56.8,Sugarcane,112671.18
Loam,14.4,26.4,92.1,Barley,51139.9
Sandy,12.4,38.9,31.1,Cotton,120243.69
Silt,48.1,37.7,81.1,Wheat,45347.86
Silt,29.5,27.2,81.4,Cotton,87632.73
Clay,48.5,32.9,70.0,Groundnut,45331.92
Sandy,27.8,30.8,63.2,Millet,44679.71
Silt,45.7,43.0,93.8,Millet,37929.68
Clay,51.2,15.8,30.0,Millet,33238.45
Loam,59.7,21.8,64.3,Wheat,44207.18
Loam,55.2,33.1,39.2,Wheat,52590.87
Silt,75.1,19.0,63.7,Barley,42134.6
Loam,58.2,31.5,37.3,Groundnut,40544.08
Sandy,11.5,19.9,37.4,Soybean,77231.58
Loam,24.3,29.3,59.2,Rice,118513.96
Sandy,22.4,27.1,81.9,Cotton,92169.81
Silt,67.9,22.0,94.1,Barley,41008.39
Silt,25.1,21.6,81.8,Barley,61229.37
Silt,13.6,23.8,85.8,Millet,47536.04
Clay,38.8,31.4,88.4,Sugarcane,73556.05
Silt,52.1,17.4,75.0,Maize,60306.11
Sandy,12.2,31.1,36.4,Rice,161924.37
Clay,75.4,35.0,50.2,Rice,78278.34
Sandy,44.6,19.4,35.8,Sugarcane,127762.83
Clay,42.3,32.2,50.4,Barley,45648.6
Silt,23.6,35.1,68.1,Wheat,51611.38
Clay,55.4,22.6,41.7,Rice,98423.68
Clay,69.3,18.7,56.3,Soybean,37818.15
Silt,42.9,29.6,82.9,Sugarcane,103419.59
Sandy,57.4,35.6,93.1,Sugarcane,85682.47
Loam,19.0,26.4,89.5,Millet,47233.29
Silt,25.5,43.6,71.8,Rice,117589.37
Sandy,49.6,32.2,48.8,Soybean,70426.81
Loam,67.0,29.7,61.4,Groundnut,45423.31
Silt,14.4,34.0,78.8,Maize,69223.02
Silt,27.5,23.5,49.2,Rice,121704.94
Silt,75.2,41.2,64.1,Sugarcane,68612.03
Silt,34.8,43.9,48.3,Rice,104654.27
Sandy,17.2,37.4,69.9,Cotton,109533.52
Clay,48.8,41.0,35.8,Millet,38045.56
Clay,23.4,33.3,43.0,Maize,69251.65
Silt,46.0,36.9,39.1,Cotton,74776.71
Sandy,71.2,17.4,55.0,Maize,58452.04
Loam,65.9,29.6,41.7,Sugarcane,96941.81
Loam,36.4,30.9,72.7,Wheat,47134.82
Loam,17.8,35.1,43.9,Maize,62453.11
Clay,74.7,35.3,59.6,Maize,47837.91
Clay,18.3,31.2,68.4,Maize,54098.57
Sandy,29.3,16.2,48.3,Barley,61352.64
Sandy,77.6,32.0,66.5,Sugarcane,80585.19
Sandy,64.8,25.0,40.4,Wheat,57167.29
Silt,45.5,38.3,63.9,Groundnut,42305.47
Clay,71.6,26.1,90.9,Pulses,33935.87
Loam,67.7,24.5,34.3,Millet,34929.76
Clay,55.7,32.3,44.2,Soybean,54420.82
Loam,67.6,21.2,30.7,Rice,103571.19
Clay,58.9,17.0,58.9,Barley,41519.64
Silt,15.5,38.1,39.9,Barley,60193.33
Loam,78.2,30.3,89.2,Soybean,37646.58
Loam,39.8,29.0,39.0,Maize,55182.03
Clay,61.1,17.7,92.2,Millet,25809.71
Clay,52.0,17.9,70.5,Pulses,33736.92
Sandy,29.8,39.2,52.8,Cotton,83721.43
Silt,17.7,37.4,87.4,Wheat,65137.97
Sandy,55.6,44.7,71.6,Barley,52904.76
Loam,52.7,33.8,61.5,Maize,57068.86
Loam,71.1,22.8,62.9,Soybean,42594.28
Silt,19.9,18.3,85.3,Groundnut,59671.41
Silt,77.5,44.2,38.9,Barley,37217.72
Sandy,60.5,36.0,72.2,Maize,67982.65
Sandy,60.3,39.8,91.8,Maize,61668.61
Sandy,27.3,24.1,36.9,Barley,62613.36
Clay,30.0,43.3,95.0,Sugarcane,73084.59
Clay,66.9,38.4,59.1,Sugarcane,80817.84
Loam,53.5,30.3,34.4,Millet,35479.83
Loam,16.4,36.4,55.6,Soybean,71503.63
Sandy,17.7,25.0,36.2,Cotton,94164.6
Clay,76.7,15.4,34.5,Millet,31371.96
Loam,31.8,27.2,90.3,Pulses,47347.88
Loam,34.4,43.1,42.1,Pulses,45878.75
Loam,73.5,25.0,84.2,Millet,28376.54
Silt,20.0,18.3,44.5,Soybean,64490.94
Loam,28.4,23.7,70.0,Cotton,83876.51
Sandy,70.9,29.8,53.2,Barley,51452.12
Clay,43.9,28.9,42.1,Pulses,36039.51
Sandy,72.0,37.1,45.3,Cotton,74625.79
Clay,61.3,38.4,77.7,Soybean,45503.12
Sandy,23.6,34.9,56.7,Millet,44873.55
Clay,27.7,20.8,40.5,Cotton,77310.25
Clay,65.8,22.4,75.6,Pulses,28732.0
Sandy,58.0,22.7,73.6,Pulses,37773.63
Silt,67.4,29.1,84.0,Sugarcane,86968.27
Sandy,48.6,20.4,40.7,Millet,43524.41
Sandy,51.8,26.6,72.2,Maize,66643.89
Sandy,55.6,35.9,68.6,Pulses,46106.81
Clay,49.4,20.3,44.6,Sugarcane,88294.45
Silt,46.8,20.8,40.7,Rice,108788.77
Sandy,12.2,19.3,59.1,Rice,131880.88
Clay,70.2,19.1,53.1,Groundnut,34830.29
Clay,67.4,33.2,89.1,Sugarcane,66893.72
Clay,44.7,39.1,81.2,Pulses,36965.42
Clay,49.4,18.9,68.4,Rice,94291.42
Sandy,10.9,42.8,65.8,Maize,70931.1
Clay,55.3,37.5,42.5,Cotton,60979.81
Silt,72.2,32.8,34.9,Maize,56017.47
Sandy,77.0,24.2,53.9,Rice,82550.2
Loam,41.3,37.9,86.7,Sugarcane,83786.79
Loam,42.7,40.3,60.0,Maize,61396.64
Loam,79.4,32.6,61.9,Soybean,44245.39
Loam,41.1,25.3,65.1,Millet,34383.75
Clay,10.7,24.0,61.6,Barley,51079.69
Loam,44.6,16.9,54.1,Sugarcane,81399.4
Loam,15.4,38.8,37.4,Groundnut,56202.0
Loam,78.8,27.0,67.1,Millet,33428.77
Sandy,14.7,18.6,89.7,Groundnut,68420.35
Silt,14.6,41.9,93.7,Rice,128215.04
Loam,25.5,36.2,71.5,Millet,37458.8
Silt,23.1,43.8,38.2,Soybean,59377.65
Sandy,73.7,38.8,77.0,Maize,57822.63
Loam,67.6,21.4,91.9,Millet,32280.96
Loam,47.7,27.1,48.6,Barley,50675.64
Clay,14.6,31.2,64.1,Groundnut,44519.48
Loam,36.6,37.7,63.6,Soybean,66478.11
Silt,55.5,38.9,83.0,Groundnut,48035.6
Sandy,23.2,30.9,68.5,Pulses,58223.43
Loam,68.4,17.2,63.4,Maize,53992.12
Clay,11.9,40.1,78.6,Sugarcane,109777.22
Clay,56.4,43.4,51.1,Millet,34503.49
Loam,40.0,30.5,66.5,Rice,111558.22
Silt,65.9,40.6,62.6,Rice,81117.05
Sandy,29.1,31.6,87.2,Millet,52353.02
Silt,66.5,34.4,54.7,Cotton,63900.61
Silt,67.9,44.0,58.9,Pulses,37381.54
Sandy,61.7,34.9,85.2,Groundnut,39839.9
Silt,45.5,39.9,88.7,Maize,53584.71
Clay,53.4,27.9,87.9,Sugarcane,72399.59
Sandy,55.2,36.4,65.1,Barley,59267.85
Loam,23.2,44.5,83.9,Groundnut,52799.89
Sandy,12.1,30.7,44.1,Rice,137254.17
Silt,11.6,35.6,35.2,Cotton,83172.74
Loam,48.7,35.0,79.8,Groundnut,39989.26
Clay,56.6,33.3,52.2,Soybean,44918.13
Silt,63.0,43.2,58.3,Soybean,57286.81
Clay,77.6,40.9,84.0,Millet,25126.87
Sandy,75.9,20.4,45.1,Groundnut,44567.57
Loam,59.4,19.8,90.0,Barley,38592.05
Loam,44.4,30.9,54.7,Sugarcane,97101.23
Clay,49.6,22.8,42.1,Rice,85101.01
Silt,71.2,15.5,78.4,Maize,51766.18
Clay,16.8,27.7,43.5,Rice,112278.2
Sandy,31.3,24.1,41.4,Sugarcane,139346.29
Loam,31.3,39.2,48.9,Maize,67066.39
Loam,55.3,25.4,38.6,Barley,53543.95
Loam,48.1,37.4,44.1,Wheat,55876.14
Sandy,22.9,31.3,47.1,Maize,78527.6
Clay,47.9,17.3,61.3,Soybean,41788.14
Clay,70.6,40.5,93.3,Sugarcane,64225.96
Silt,62.4,37.7,70.8,Rice,92874.63
Silt,31.9,33.0,87.5,Wheat,56504.46
Loam,63.7,31.6,55.5,Barley,50258.61
Loam,19.0,23.7,81.7,Soybean,65309.15
Sandy,70.8,42.2,44.1,Barley,56205.9
Clay,78.5,27.7,86.2,Sugarcane,57573.5
Sandy,64.3,39.4,85.8,Pulses,41374.12
Loam,59.6,24.9,66.3,Cotton,69786.5
Silt,27.9,16.3,70.5,Soybean,62572.42
Loam,40.5,25.1,71.2,Cotton,71528.87
Loam,58.9,40.6,94.8,Sugarcane,82787.31
Silt,24.0,29.4,62.4,Pulses,50270.19
Loam,30.9,44.4,93.5,Barley,45899.03
Silt,68.4,41.6,53.3,Sugarcane,73291.93
Loam,39.8,33.1,85.1,Cotton,69482.59
Clay,33.6,18.9,36.9,Groundnut,43428.73
Clay,78.6,16.1,90.8,Cotton,51466.1
Loam,71.8,41.9,93.5,Soybean,44972.38
Silt,24.3,36.4,48.0,Wheat,67565.68
Loam,61.6,17.5,78.6,Maize,54035.8
Loam,19.0,21.1,79.8,Soybean,64339.43
Loam,75.1,17.1,30.3,Pulses,35187.12
Sandy,19.9,27.4,43.4,Barley,58478.36
Silt,79.6,24.5,81.8,Cotton,50333.39
Sandy,68.5,33.8,49.5,Groundnut,49648.31
Sandy,45.5,28.3,82.1,Wheat,57537.62
Sandy,36.6,31.3,51.9,Pulses,48795.0
Loam,61.6,32.3,84.1,Sugarcane,74050.87
Silt,19.6,20.6,73.0,Maize,66106.98
Clay,11.1,29.6,37.7,Pulses,47562.34
Loam,20.0,39.1,41.4,Barley,65643.07
Silt,27.9,20.8,81.3,Sugarcane,108647.42
Clay,59.2,17.9,80.3,Pulses,36838.86
Silt,36.6,31.0,46.6,Soybean,61490.24
Clay,45.5,21.4,51.0,Rice,84924.56
Loam,64.6,35.3,52.7,Wheat,44603.64
Clay,37.4,26.5,64.5,Cotton,59797.95
Loam,37.1,25.7,89.2,Wheat,54166.54
Sandy,27.8,26.9,48.1,Pulses,61425.59
Silt,10.1,39.9,88.6,Sugarcane,112188.29
Clay,15.1,16.0,79.9,Wheat,57429.38
Silt,43.8,21.3,82.7,Groundnut,47210.67
Clay,20.3,16.4,66.7,Sugarcane,101813.21
Silt,71.8,26.7,61.5,Rice,77691.46
Clay,62.5,25.7,40.7,Rice,83447.17
Sandy,51.5,30.8,76.5,Wheat,61756.57
Loam,34.4,41.9,76.4,Groundnut,52270.89
Silt,10.0,38.2,82.4,Soybean,59602.14
Silt,63.5,15.4,73.3,Sugarcane,73272.75
Clay,47.3,21.7,48.2,Wheat,51204.94
Clay,20.2,23.8,78.5,Maize,62723.89
Silt,66.5,38.5,31.4,Wheat,46066.22
Loam,65.3,29.7,33.8,Groundnut,37557.49
Clay,67.4,22.3,31.9,Barley,40762.32
Clay,67.5,29.4,59.7,Millet,26670.26
Clay,28.0,33.5,58.4,Barley,52429.33
Loam,66.1,40.8,79.9,Groundnut,39369.48
Clay,42.8,18.2,94.9,Rice,92620.09
Loam,61.7,30.2,83.8,Soybean,53584.56
Sandy,32.4,40.7,70.2,Soybean,67714.84
Silt,76.9,18.3,45.3,Soybean,53498.48
Sandy,24.5,25.4,33.9,Soybean,78210.06
Sandy,26.1,44.1,79.1,Cotton,100918.23
Loam,69.7,26.0,47.5,Pulses,31993.38
Loam,66.2,33.8,65.3,Groundnut,39025.55
Silt,66.3,27.9,52.1,Rice,96360.52
Sandy,65.5,29.7,36.4,Wheat,57089.86
Loam,41.8,17.2,44.2,Pulses,40764.54
Silt,79.7,24.1,69.8,Wheat,44912.48
Silt,55.3,30.7,93.5,Groundnut,37551.9
Loam,16.7,43.8,70.8,Barley,58806.72
Clay,58.1,27.8,43.1,Barley,39896.3
Silt,63.0,30.4,33.0,Rice,101944.78
Silt,44.7,18.1,32.5,Maize,56932.59
Loam,56.7,24.5,89.6,Millet,35253.95
Loam,65.0,37.0,88.7,Sugarcane,72841.16
Loam,32.2,44.7,55.4,Barley,50325.97
Clay,68.6,25.0,89.3,Millet,29594.02
Clay,72.3,19.9,73.8,Maize,48800.37
Silt,60.6,30.7,63.1,Sugarcane,92085.02
Clay,20.9,18.9,58.6,Soybean,66108.52
Silt,16.9,26.0,45.0,Sugarcane,104763.78
Clay,16.3,44.1,92.8,Maize,50122.1
Clay,69.9,39.1,58.5,Cotton,49546.43
Silt,14.8,44.6,76.9,Pulses,47351.22
Silt,13.7,36.1,42.3,Pulses,48639.85
Loam,48.5,29.8,86.8,Millet,30307.12
Clay,22.9,42.0,31.0,Millet,41578.07
Clay,10.1,43.4,85.1,Groundnut,47370.4
Silt,36.7,19.9,87.3,Barley,50120.11
Silt,67.1,36.4,46.9,Barley,45939.26
Clay,64.5,41.8,75.8,Barley,36726.61
Silt,78.7,25.6,65.7,Maize,43626.48
Sandy,57.1,26.0,62.2,Groundnut,48271.12
Sandy,42.0,44.5,88.7,Sugarcane,116381.08
Clay,46.6,28.7,68.9,Maize,57957.31
Sandy,44.8,26.1,92.1,Cotton,70823.82
Sandy,48.7,40.1,30.2,Cotton,75745.33
Sandy,75.8,26.4,50.1,Maize,63641.44
Clay,68.9,39.5,31.5,Groundnut,42733.77
Silt,45.8,37.5,47.9,Sugarcane,94658.73
Sandy,30.9,16.7,71.0,Sugarcane,110601.65
Silt,25.5,43.6,33.6,Groundnut,65350.25
Sandy,17.3,15.2,47.6,Wheat,80706.95
Clay,61.5,21.7,34.9,Millet,29720.15
Silt,59.9,30.3,91.0,Barley,43944.15
Clay,37.6,41.6,74.5,Barley,43142.8
Sandy,52.9,21.0,40.9,Millet,41302.55
Loam,47.8,21.2,57.8,Groundnut,48968.5
Silt,36.0,17.2,30.1,Rice,120564.3
Sandy,27.6,42.4,31.2,Millet,48158.23
Loam,24.9,30.8,34.4,Groundnut,51646.91
Clay,41.8,27.8,45.1,Sugarcane,78869.51
Clay,69.8,19.3,81.0,Wheat,33285.43
Sandy,27.6,17.8,46.9,Groundnut,65719.52
Loam,72.6,37.6,85.9,Rice,67539.76
Silt,39.8,29.1,59.8,Millet,36749.01
Silt,79.4,30.4,59.8,Millet,33614.58
Sandy,27.8,30.1,36.3,Millet,45512.15
Loam,47.8,22.7,76.2,Soybean,47070.57
Clay,18.3,37.8,90.7,Millet,33957.21
Clay,22.8,42.3,57.2,Millet,39758.32
Clay,22.3,16.4,64.2,Soybean,58381.61
Silt,16.5,35.6,79.7,Millet,38901.98
Clay,79.6,36.8,33.6,Maize,41345.78
Loam,65.9,41.8,79.3,Rice,84362.72
Sandy,33.9,28.0,80.2,Cotton,95143.19
Sandy,46.5,15.4,43.3,Barley,52489.76
Loam,77.6,20.1,75.6,Millet,25145.34
Silt,47.9,21.4,60.3,Sugarcane,102505.26
Silt,74.0,42.8,61.5,Pulses,33488.57
Sandy,40.6,37.5,48.0,Sugarcane,123393.5
Clay,63.7,32.9,35.0,Sugarcane,78752.59
Loam,72.6,31.4,49.4,Groundnut,38172.75
Loam,50.1,27.3,47.4,Groundnut,41324.6
Loam,41.9,24.8,61.4,Cotton,75546.82
Clay,39.8,30.8,37.3,Wheat,43507.2
Silt,27.8,32.4,53.2,Rice,113634.23
Clay,61.8,44.9,64.4,Groundnut,33566.26
Loam,45.0,36.1,41.0,Wheat,53756.66
Loam,14.6,37.5,87.1,Millet,42140.09
Loam,19.5,15.1,50.4,Barley,66037.98
Loam,25.0,34.7,93.8,Barley,50750.54
Clay,14.8,37.6,93.6,Cotton,79050.59
Loam,38.6,29.4,91.5,Barley,53725.57
Sandy,55.0,30.9,57.0,Rice,108813.43
Loam,42.0,24.2,84.5,Barley,47911.45
Silt,17.2,29.1,37.0,Wheat,71054.81
Silt,75.6,42.7,72.0,Millet,34271.56
Loam,65.0,34.5,57.0,Soybean,42908.04
Loam,43.3,23.8,76.5,Cotton,71293.71
Silt,66.6,23.6,57.4,Soybean,51727.63
Silt,70.8,38.5,61.5,Wheat,42216.37
Clay,37.3,25.4,72.6,Soybean,57684.86
Silt,29.0,40.5,77.4,Cotton,72982.52
Silt,76.8,32.3,77.7,Wheat,41985.43
Silt,62.8,15.6,58.4,Millet,35058.29
Clay,46.2,42.6,94.6,Sugarcane,75176.59
Loam,72.0,18.3,92.9,Millet,27666.04
Loam,31.5,35.7,90.5,Rice,98262.03
Sandy,35.5,44.3,32.0,Millet,50151.92
Silt,50.1,22.9,66.5,Pulses,42699.18
Sandy,26.8,15.1,75.6,Sugarcane,101281.21
Silt,17.3,33.3,33.1,Rice,151318.64
Clay,78.5,31.4,42.4,Barley,41008.35
Sandy,21.3,19.1,71.0,Pulses,50654.53
Sandy,29.1,29.4,77.6,Groundnut,60502.14
Loam,57.5,34.9,43.5,Groundnut,40997.19
Clay,65.3,23.7,56.9,Barley,42099.91
Sandy,68.8,24.1,61.6,Cotton,65978.37
Loam,47.9,35.7,60.5,Sugarcane,91766.93
Clay,25.8,40.5,71.3,Pulses,43303.3
Silt,60.3,44.9,70.6,Barley,47506.51
Silt,37.8,37.2,39.6,Rice,115539.34
Clay,59.7,17.4,71.8,Cotton,50895.14
Loam,66.7,27.5,30.3,Barley,51665.11
Loam,23.4,39.7,73.6,Millet,48153.75
Clay,53.3,36.5,64.4,Wheat,48311.3
Silt,37.8,29.8,51.6,Sugarcane,102216.5
Sandy,79.8,27.0,51.6,Soybean,57635.03
Silt,28.7,41.3,56.7,Wheat,66645.29
Sandy,19.9,30.4,84.4,Pulses,58704.16
Clay,27.4,22.4,92.5,Maize,63554.73
Clay,75.5,37.5,30.7,Cotton,63340.08
Sandy,71.2,18.4,65.9,Wheat,50532.0
Sandy,55.5,31.6,90.4,Millet,41774.61
Loam,32.3,29.5,51.5,Sugarcane,104505.11
Clay,44.5,24.4,57.3,Groundnut,44143.2
Sandy,54.7,29.1,62.6,Wheat,47909.22
Sandy,45.5,25.7,51.4,Maize,63259.21
Clay,51.7,15.9,90.5,Wheat,36340.95
Sandy,69.5,24.4,85.4,Wheat,49420.61
Sandy,70.7,36.9,81.9,Wheat,49426.66
Sandy,35.8,25.9,53.3,Cotton,91199.29
Silt,30.6,19.9,47.3,Pulses,43162.4
Sandy,72.3,15.9,59.8,Pulses,44709.65
Clay,39.8,25.8,35.5,Soybean,58667.75
Sandy,40.3,40.3,78.8,Millet,42651.45
Sandy,77.6,28.7,81.5,Millet,31584.4
Loam,63.4,29.5,82.1,Pulses,33071.36
Sandy,30.1,42.0,80.8,Cotton,81059.63
Sandy,71.1,17.5,33.7,Soybean,62357.77
Sandy,62.5,28.6,77.0,Wheat,57145.5
Silt,31.4,36.9,84.6,Soybean,68553.03
Loam,28.4,20.9,45.5,Pulses,46519.32
Silt,66.5,24.2,43.2,Soybean,55524.06
Silt,12.4,16.5,78.9,Soybean,66546.22
Clay,63.0,41.4,46.8,Cotton,67398.36
Clay,60.8,26.5,35.3,Sugarcane,87818.46
Sandy,26.2,23.9,52.5,Cotton,94760.06
Loam,74.1,43.1,47.4,Soybean,44414.82
Silt,25.5,23.3,72.5,Barley,56699.24
Silt,55.9,20.6,30.9,Wheat,50612.26
Clay,57.7,25.7,48.8,Soybean,45154.38
Sandy,78.3,40.0,92.9,Millet,32523.76
Clay,12.0,29.0,59.5,Cotton,80734.17
Clay,26.6,27.6,61.2,Sugarcane,81577.61
Loam,35.1,20.7,73.5,Rice,117598.99
Loam,36.7,35.2,53.8,Sugarcane,107882.3
Silt,48.0,38.7,52.4,Rice,103866.48
Silt,29.2,17.6,31.3,Soybean,76665.38
Loam,11.4,40.8,75.1,Pulses,57036.56
Loam,35.1,40.3,35.1,Soybean,69158.96
Silt,53.0,22.2,43.5,Pulses,49815.45
Clay,30.8,22.5,52.4,Wheat,47005.88
Loam,50.4,24.5,78.6,Maize,57949.79
Loam,27.5,33.1,40.4,Maize,69357.8
Sandy,29.1,27.9,59.3,Sugarcane,110740.0
Loam,49.8,17.7,47.3,Soybean,50927.2
Silt,53.7,42.4,93.5,Pulses,33957.46
Clay,44.4,21.9,73.9,Groundnut,39360.18
Sandy,20.7,29.7,72.7,Wheat,68675.88
Loam,11.6,23.1,82.3,Groundnut,56930.12
Sandy,75.7,17.6,92.2,Soybean,47496.6
Sandy,49.8,24.3,71.1,Cotton,73835.22
Silt,63.1,26.8,59.4,Groundnut,47634.06
Sandy,70.9,18.2,54.2,Cotton,73426.01
Silt,57.1,24.2,36.6,Wheat,44694.91
Silt,36.1,39.4,94.4,Rice,103313.99
Silt,41.2,44.4,84.4,Soybean,51738.75
Clay,16.3,41.5,57.6,Wheat,56859.48
Sandy,54.0,21.4,80.0,Barley,56355.53
